binary_sensor.slaapkamer_jan_raam | Raam |  | tado | 
binary_sensor.slaapkamer_jan_vroege_start | Vroege start |  | tado | 
binary_sensor.slaapkamer_stijn_vermogen | Vermogen |  | tado | 
binary_sensor.slaapkamer_stijn_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.slaapkamer_stijn_overlay | Overlay |  | tado | 
binary_sensor.slaapkamer_stijn_raam | Raam |  | tado | 
binary_sensor.slaapkamer_stijn_vroege_start | Vroege start |  | tado | 
binary_sensor.inkom_vermogen | Vermogen |  | tado | 
binary_sensor.inkom_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.inkom_overlay | Overlay |  | tado | 
binary_sensor.inkom_raam | Raam |  | tado | 
binary_sensor.inkom_vroege_start | Vroege start |  | tado | 
sensor.slaapkamer_mapa_temperatuur | Temperatuur |  | tado | 
sensor.slaapkamer_mapa_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.slaapkamer_mapa_tado_mode | Tado mode |  | tado | 
sensor.slaapkamer_mapa_verwarmen | Verwarmen |  | tado | 
sensor.slaapkamer_jolien_temperatuur | Temperatuur |  | tado | 
sensor.slaapkamer_jolien_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.slaapkamer_jolien_tado_mode | Tado mode |  | tado | 
sensor.slaapkamer_jolien_verwarmen | Verwarmen |  | tado | 
sensor.badkamer_temperatuur | Temperatuur |  | tado | 
sensor.badkamer_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.badkamer_tado_mode | Tado mode |  | tado | 
sensor.badkamer_verwarmen | Verwarmen |  | tado | 
sensor.slaapkamer_jan_temperatuur | Temperatuur |  | tado | 
sensor.slaapkamer_jan_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.slaapkamer_jan_tado_mode | Tado mode |  | tado | 
sensor.slaapkamer_jan_verwarmen | Verwarmen |  | tado | 
sensor.slaapkamer_stijn_temperatuur | Temperatuur |  | tado | 
sensor.slaapkamer_stijn_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.slaapkamer_stijn_tado_mode | Tado mode |  | tado | 
sensor.slaapkamer_stijn_verwarmen | Verwarmen |  | tado | 
sensor.inkom_temperatuur | Temperatuur |  | tado | 
sensor.inkom_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.inkom_tado_mode | Tado mode |  | tado | 
sensor.inkom_verwarmen | Verwarmen |  | tado | 
climate.slaapkamer_mapa |  |  | tado | 
climate.slaapkamer_jolien |  |  | tado | 
climate.badkamer |  |  | tado | 
